Model,Impl,Split,MAE,RMSE,MAPE,OPE,R2
seasonal_naive,baseline_test,test,4.801004464285716,6.081300928431585,3627232144.41898,0.0127406683762771,0.648628536029322
seasonal_naive,baseline_val,val,5.199890530925014,6.754390815819719,9140667764.042406,0.0512932988258687,0.5990948973140635
historic_avg,baseline_test,test,8.985741330473996,10.333198712677284,11703820982.414948,0.1500780411310796,-0.0144789992490106
historic_avg,baseline_val,val,9.26983516116884,10.682491854418668,3788844239.23842,0.0753978555143492,-0.0028000642997094
naive,baseline_val,val,11.777941981390256,14.476756562477632,1258894363.956143,1.3072114751941046,-0.8416697528861428
structural,baseline_val,val,11.8342079976462,14.539089528864496,1341333244.1469378,1.3193152941196649,-0.8575633517090158
drift,baseline_val,val,11.840555732064862,14.546118976352767,1350464812.2695038,1.320675165094858,-0.8593599979990945
naive,baseline_test,test,13.133816964285714,15.73117923106847,6194196430.624529,1.4498175058683058,-1.3512351037762178
structural,baseline_test,test,13.263358870807988,15.86452580572586,6432742520.606204,1.470121852345814,-1.3912649031806548
drift,baseline_test,test,13.266052207548295,15.86730711471524,6438571356.150251,1.470560094379449,-1.39210343181408
