Model,Impl,Split,MAE,RMSE,MAPE,OPE,R2
GRU_h1792_in_365_enc64x2,neural,test,3.503292043427272,4.444511215843824,7262492287.517656,0.1103484192702748,0.8123184801311782
LSTM_h1792_in_365_enc64x2,neural,test,3.5140662064775823,4.4647765541004665,7235003370.40606,0.1176152152802665,0.8106030606305505
NHITS_h1792_in_365,neural,test,3.5465317776110687,4.532260104790153,6297819384.180833,0.1375747453940208,0.8048344541434753
NBEATS_h1792_in_365,neural,test,3.552857745112852,4.53929631347928,7437693887.794896,0.1595597574575657,0.8042280055173395
NHITS_h1827_in_365,neural,val,3.583652902078485,4.554383164422524,3111513574.789252,0.054766074740258,0.8177244810870463
LSTM_h1827_in_365_enc64x2,neural,val,3.586651946079816,4.548621120573588,2721470697.120631,0.0077950878753798,0.81818540635683
NBEATS_h1827_in_365,neural,val,3.596953034528175,4.573221380608158,3377013476.9177814,0.0052023279289704,0.816213476422883
RNN_h1792_in_365_enc64x2,neural,test,3.600080491522593,4.572446998258735,7046777224.090607,0.1626875224497581,0.8013581007921177
GRU_h1827_in_365_enc64x2,neural,val,3.603195701665936,4.566221826026252,3246916014.078472,0.0201634399666847,0.8167756356654601
RNN_h1827_in_365_enc64x2,neural,val,3.6044386630379313,4.569031241889189,2934331117.7844086,0.0047202051933039,0.816550104883566
